floor,sun_exposure_cat,rent,zipcode
9,Limited natural light,1700,11216
7,Limited natural light,2025,11216
7,Limited natural light,2149,11206
5,Limited natural light,3545,11205
5,Limited natural light,2050,11216
5,Limited natural light,2350,11238
5,Moderate sunlight,1650,11216
4,Limited natural light,2877,11225
4,Moderate sunlight,4500,11238
4,Moderate sunlight,2500,11216
4,Limited natural light,2199,11216
4,Moderate sunlight,3300,11216
4,Limited natural light,2877,11225
4,Moderate sunlight,2125,11216
4,Limited natural light,2300,11238
4,Limited natural light,3400,11216
3,Limited natural light,2895,11205
3,Limited natural light,2590,11205
3,Limited natural light,2900,11216
3,Limited natural light,2000,11221
3,Limited natural light,3764,11205
3,Limited natural light,3195,11205
3,Limited natural light,3300,11205
3,Moderate sunlight,3000,11221
3,Limited natural light,2895,11205
3,Limited natural light,2590,11205
3,Limited natural light,2250,11221
3,Limited natural light,2345,11213
3,Moderate sunlight,2199,11216
3,Limited natural light,2200,11225
3,Limited natural light,2295,11225
3,Moderate sunlight,2250,11226
3,Moderate sunlight,2000,11226
3,Moderate sunlight,2099,11226
3,Limited natural light,2500,11216
2,Moderate sunlight,2150,11221
2,Limited natural light,2400,11238
2,Moderate sunlight,1900,11233
2,Limited natural light,2450,11206
2,Bright & sun drenched,2050,11216
2,Limited natural light,2899,11233
2,Bright & sun drenched,3449,11221
2,Limited natural light,2790,11216
2,Moderate sunlight,2825,11216
2,Moderate sunlight,2095,11216
2,Limited natural light,2017,11221
2,Limited natural light,2950,11216
2,Limited natural light,2015,11213
2,Limited natural light,2200,11226
2,Limited natural light,2500,11238
2,Limited natural light,2100,11213
1,Limited natural light,3000,11213
1,Moderate sunlight,2049,11216
1,Limited natural light,2100,11216
1,Moderate sunlight,5750,11205
1,Limited natural light,2400,11216
1,Limited natural light,2650,11233
1,Moderate sunlight,4000,11205
1,Limited natural light,1995,11206
1,Limited natural light,1995,11206
1,Limited natural light,3200,11206
1,Limited natural light,5595,11238
1,Limited natural light,2099,11216
1,Limited natural light,2400,11216
1,Limited natural light,1950,11205
1,Moderate sunlight,1650,11216
1,Limited natural light,2000,11206
1,Limited natural light,3200,11216
